,B1_FULL_ADDRESS,Lat,Lon,DBA
12882,2629 TELEGRAPH AVE,37.86234,-122.258784,LE BATEAU IVRE/ DRUNKEN BOAT
12892,1235 SAN PABLO AVE,37.881014,-122.295914,MEAL TICKET
13229,1807 FOURTH ST A,37.869758,-122.300575,BETTES OCEANVIEW DINER
13316,199 SEAWALL DR,37.859796,-122.316303,H'S LORDSHIP RESTAURANT
13373,2140 UNIVERSITY AVE,37.872214,-122.267511,LUCKY HOUSE THAI & LAO CAFE
13439,2570 NINTH ST,37.859242,-122.291382,WESTSIDE BAKERY CAFE
13510,1316 GILMAN ST,37.881281,-122.289344,KIKU SUSHI
13597,2801 TELEGRAPH AVE,37.859481,-122.25918,MUDRAKERS CAFE
13977,2454 SACRAMENTO ST,37.86297,-122.281294,HOMEMADE INC
14631,1902 UNIVERSITY AVE,37.871509,-122.272955,CHAAT CAFE
15235,1549 SHATTUCK AVE,37.878575,-122.269041,DARA THAI/LAO CUISINE
3632,2033 M L KING JR WAY,37.8711868,-122.2727226,SUSHI CALIFORNIA
5550,1346 M L KING JR WAY,37.8815547,-122.274315,FATAPPLE'S INC
9831,1919 FOURTH ST,37.8681313,-122.2997683,SPENGER'S FRESH FISH GROTTO
10772,1916 M L KING JR WAY,37.8728368,-122.2734558,NINO'S BRAZILIAN RESTAURANT
