,B1_FULL_ADDRESS,Lat,Lon,DBA
10296,2811 TELEGRAPH AVE,37.859079,-122.259236,TAISAN
10342,2521 DURANT AVE C,37.867947,-122.257926,KATSUMI SUSHI
10374,2200 SAN PABLO AVE,37.866231,-122.291299,GALLEGO'S MEXICAN FOOD
10497,2565 TELEGRAPH AVE,37.864077,-122.258542,PASTA BENE RESTAURANT
10499,1475 SHATTUCK AVE,37.880686,-122.269288,SAUL'S RESTAURANT/DELI/GROCERY
11142,2190 BANCROFT WAY,37.867787,-122.266273,THE GREAT CHINA
11308,1513 SHATTUCK AVE A,37.879741,-122.269177,TIGERLILY
11353,2517 DURANT AVE B,37.8679,-122.258302,YELIJIN KIMCHI GARDEN INC
11355,1888 SOLANO AVE,37.891467,-122.277515,S & T AJANTA INC
11453,1730 SHATTUCK AVE,37.875952,-122.268883,AGRODOLCE
11706,3031 ADELINE ST,37.854069,-122.269223,FLACOS
11792,1828 EUCLID AVE,37.875765,-122.260279,DAILY PINT
11812,1428 SAN PABLO AVE,37.877723,-122.294988,SUPER SUPER RESTAURANT
11969,1609 SAN PABLO AVE,37.874772,-122.293903,BARTAVELLE COFFEE & WINE BAR ANNEX
11972,3051 ADELINE ST,37.853426,-122.269463,ZING! CAFE
12038,2575 TELEGRAPH AVE,37.863866,-122.258572,HATO
12070,2068 CENTER ST,37.870179,-122.269015,EUREKA!
12085,1901 UNIVERSITY AVE,37.871632,-122.272793,ROJBAS
12106,2283 SHATTUCK AVE,37.867946,-122.267753,LITTLE PLEARN THAI KITCHEN
12143,900 GRAYSON ST,37.855317,-122.292357,HENRO LLC
12154,2430 SHATTUCK AVE,37.865217,-122.267581,BARDAD INC
12176,1956 SHATTUCK AVE,37.872771,-122.268466,KAZE RAMEN
12229,2033 SAN PABLO AVE,37.868537,-122.291872,LANESPLITTER PUB
12322,2121 SAN PABLO AVE,37.867404,-122.291513,ANJA'S KITCHEN LLC
12641,1269 UNIVERSITY AVE,37.869756,-122.287476,NINE THAI EATERY
12857,1954 UNIVERSITY AVE,37.871668,-122.271771,MAKER'S COMMON
12897,1941 UNIVERSITY AVE,37.87172,-122.272067,THE BUTCHER'S SON
13199,2085 VINE ST,37.880162,-122.269839,DONG XI 002 LLC
13543,2993 COLLEGE AVE,37.856327,-122.252978,TRATTORIA LA SICILIANA
13746,2650 TELEGRAPH AVE,37.861565,-122.258977,EL MARIACHI
13890,2428 TELEGRAPH AVE,37.866398,-122.258702,MURACCI'S 3
13898,2068 UNIVERSITY AVE,37.872013,-122.269096,IMM THAI
13923,2516 DURANT AVE B,37.867912,-122.25821,THE TAP HAUS
14173,1941 UNIVERSITY AVE,37.87172,-122.272067,POKI POKE
14373,2429 SHATTUCK AVE,37.865082,-122.267425,KING DONG RESTAURANT
14612,2364 SHATTUCK AVE,37.866431,-122.267715,HEAT CAFE
14649,2000 UNIVERSITY AVE,37.871828,-122.270516,AU COQUELET CAFE
14717,2504 SHATTUCK AVE,37.863862,-122.267419,FRAUSTO'S GUADALAJARA REST
