,address,aggregate_score,category,Lat,Lon,name,phone_number,price_quartile,reservation_url,restaurant_site,review_count
33,3212 Adeline St,,['Ethiopian'],37.8501800,-122.2709700,Lemat Ethiopian Restaurant and Cafe,,$$$,http://www.opentable.com/restaurant/profile/270505,,
65,2451 Shattuck Avenue,,"['Middle Eastern', 'Californian', 'Vegetarian / Vegan']",37.8646830,-122.2668460,Saha,,$$,http://www.opentable.com/restaurant/profile/333124,www.sahaberkeley.com,
40,2420 Shattuck Ave,,"['Italian', 'Pizzeria']",37.8652840,-122.2679920,Gio's Pizza and Bocce,,$$,http://www.opentable.com/restaurant/profile/334018,giosberkeley.com,
88,913 University Ave,,"['Creperie', 'French']",37.8684870,-122.2962170,Brittany Crepes,,$$,http://www.opentable.com/restaurant/profile/334726,www.brittanycrepes.com,
34,1730 Shattuck Ave,,"['Italian', 'Sicilian']",37.8759370,-122.2690900,Agrodolce,,$$,http://www.opentable.com/restaurant/profile/340441,www.agrodolceberkeley.com,
98,1543 Shattuck Ave,,['Indian'],37.8787430,-122.2688420,Jotmahal Palace of Indian Cuisine,,$$,http://www.opentable.com/restaurant/profile/348106,www.jotmahal.com/,
53,2016 Shattuck Ave,,"['Italian', 'Pizzeria', 'Wine Bar']",37.8716600,-122.2683300,Lucia's,,$$,http://www.opentable.com/restaurant/profile/349174,http://www.luciaspizzeria.com/,
95,1954 University Avenue,,"['American', 'Californian']",37.8716820,-122.2716580,Maker's Common,,$$,http://www.opentable.com/restaurant/profile/442534,www.makerscommon.net/,
24,2556 Telegraph Ave,,['Peruvian'],37.8639200,-122.2586000,Arriba Peru,,$$$,http://www.opentable.com/restaurant/profile/442675,,
51,2085 Vine St,,"['Fusion / Eclectic', 'Contemporary American']",37.8803130,-122.2698670,Mission: Heirloom Garden Cafe,,$$,http://www.opentable.com/restaurant/profile/486073,missionheirloom.com/,
91,1181 University Ave,,['Thai'],37.8696100,-122.2901680,Eat @ Thai,,$$,http://www.opentable.com/restaurant/profile/729895,www.berkeleyeatatthai.com/,
50,1782 4th St,,"['Californian', 'American', 'Bistro']",37.8703030,-122.3013040,Pompette,,$$,http://www.opentable.com/restaurant/profile/730162,www.pompetteberkeley.com,
70,2020 Kittredge St,,"['Bistro', 'French', 'Creperie']",37.8679910,-122.2695230,Maison Bleue Berkeley,,$$,http://www.opentable.com/restaurant/profile/730267,https://maisonbleuecafe.com/,
19,2635 Ashby Avenue,,['Italian'],37.8571050,-122.2534870,donato&co.,,$$,http://www.opentable.com/restaurant/profile/740590,www.donatoandco.com,
21,2050 University Ave.,,"['Korean', 'Fusion / Eclectic', 'American']",37.8718250,-122.2694710,Berkeley Social Club,,$$,http://www.opentable.com/restaurant/profile/745255,www.berkeley-socialclub.com,
80,1508 Walnut St,,"['American', 'Californian']",37.8800010,-122.2683860,Nico's 1508,,$$,http://www.opentable.com/restaurant/profile/986320,nicos1508.net/restaurant/,
