,DBA,CVLEGEND,B1_FULL_ADDRESS,Lat,Lon
3909,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2200 DWIGHT WAY,37.864238,-122.265263
1868,DOMESTIC VIOLENCE,FAMILY OFFENSE,2900 COLLEGE AVE,37.858356,-122.253179
1342,THEFT FELONY (OVER $950),LARCENY,2100 SHATTUCK AVE,37.871167,-122.268285
1905,FRAUD/FORGERY,FRAUD,1500 WALNUT ST,37.880376,-122.268183
4253,ASSAULT/BATTERY FEL.,ASSAULT,1400 CARLETON ST,37.859416,-122.281845
1671,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1700 CHANNING WAY,37.864591,-122.276855
4011,MISSING ADULT,MISSING PERSON,2400 FIFTH ST,37.861511,-122.29681
1739,2ND RESPONSE,NOISE VIOLATION,2300 DWIGHT WAY,37.864535,-122.262993
3188,NARCOTICS,DRUG VIOLATION,SAN PABLO AVENUE & CAMELIA ST,37.878722,-122.295312
76,VANDALISM,VANDALISM,2100 KITTREDGE ST,37.868512,-122.26781
3558,ASSAULT/BATTERY MISD.,ASSAULT,2300 COLLEGE AVE,37.868957,-122.254552
3199,ROBBERY,ROBBERY,CEDAR STREET & SCENIC AVE,37.8792,-122.263044
4163,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2200 PARKER ST,37.862491,-122.2646
1708,NARCOTICS,DRUG VIOLATION,SECOND STREET & PAGE ST,37.875531,-122.304855
1196,DISTURBANCE,DISORDERLY CONDUCT,ASHBY AVENUE & TELEGRAPH AVE,37.856181,-122.25973
699,VEHICLE STOLEN,MOTOR VEHICLE THEFT,WHEELER STREET & ESSEX ST,37.854088,-122.264286
433,BURGLARY AUTO,BURGLARY - VEHICLE,2100 KITTREDGE ST,37.868512,-122.26781
1774,NARCOTICS,DRUG VIOLATION,2400 TELEGRAPH AVE,37.866761,-122.258779
2509,BURGLARY AUTO,BURGLARY - VEHICLE,1100 SAN PABLO AVE,37.88382,-122.296952
372,FRAUD/FORGERY,FRAUD,700 HILLDALE AVE,37.898747,-122.266109
2450,DISTURBANCE,DISORDERLY CONDUCT,ASHBY AVENUE & TELEGRAPH AVE,37.856181,-122.25973
